t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
0.0000000000,4.7123889804,1.3962634016,0.0000000000,0.0000000000,0.9848077530,0.0000000000,3.6736481777,0.9848077530,1.1736481777,0.4992680326,3.5880344248,0.0000000000
0.0020000000,4.7123876978,1.3962924574,-0.0012824802,0.0290556110,0.9848112928,0.0000000000,3.6736208264,0.9848112928,1.1736208264,0.4992691948,3.5880205585,1.0000000000
0.0040000000,4.7123838516,1.3963796227,-0.0025632336,0.0581092142,0.9848219094,0.0000000000,3.6735387721,0.9848219094,1.1735387721,0.4992726810,3.5879789594,2.0000000000
0.0060000000,4.7123774471,1.3965248916,-0.0038405333,0.0871588022,0.9848395941,0.0000000000,3.6734020130,0.9848395941,1.1734020130,0.4992784891,3.5879096266,3.0000000000
0.0080000000,4.7123684929,1.3967282539,-0.0051126525,0.1162023693,0.9848643323,0.0000000000,3.6732105465,0.9848643323,1.1732105465,0.4992866161,3.5878125588,4.0000000000
0.0100000000,4.7123570011,1.3969896957,-0.0063778645,0.1452379116,0.9848961040,0.0000000000,3.6729643689,0.9848961040,1.1729643689,0.4992970577,3.5876877540,5.0000000000
0.0120000000,4.7123429872,1.3973091989,-0.0076344423,0.1742634278,0.9849348832,0.0000000000,3.6726634754,0.9849348832,1.1726634754,0.4993098085,3.5875352097,6.0000000000
0.0140000000,4.7123264703,1.3976867414,-0.0088806593,0.2032769202,0.9849806382,0.0000000000,3.6723078600,0.9849806382,1.1723078600,0.4993248617,3.5873549229,7.0000000000
0.0160000000,4.7123074727,1.3981222972,-0.0101147887,0.2322763947,0.9850333317,0.0000000000,3.6718975160,0.9850333317,1.1718975160,0.4993422095,3.5871468901,8.0000000000
0.0180000000,4.7122860203,1.3986158363,-0.0113351036,0.2612598623,0.9850929204,0.0000000000,3.6714324352,0.9850929204,1.1714324352,0.4993618427,3.5869111071,9.0000000000
0.0200000000,4.7122621426,1.3991673246,-0.0125398774,0.2902253389,0.9851593554,0.0000000000,3.6709126088,0.9851593554,1.1709126088,0.4993837509,3.5866475693,10.0000000000
0.0220000000,4.7122358723,1.3997767243,-0.0137273833,0.3191708465,0.9852325821,0.0000000000,3.6703380268,0.9852325821,1.1703380268,0.4994079227,3.5863562717,11.0000000000
0.0240000000,4.7122072457,1.4004439934,-0.0148958947,0.3480944139,0.9853125399,0.0000000000,3.6697086782,0.9853125399,1.1697086782,0.4994343454,3.5860372084,12.0000000000
0.0260000000,4.7121763026,1.4011690860,-0.0160436847,0.3769940768,0.9853991628,0.0000000000,3.6690245510,0.9853991628,1.1690245510,0.4994630048,3.5856903734,13.0000000000
0.0280000000,4.7121430860,1.4019519525,-0.0171690266,0.4058678791,0.9854923787,0.0000000000,3.6682856323,0.9854923787,1.1682856323,0.4994938859,3.5853157600,14.0000000000
0.0300000000,4.7121076426,1.4027925390,-0.0182701938,0.4347138729,0.9855921102,0.0000000000,3.6674919081,0.9855921102,1.1674919081,0.4995269722,3.5849133610,15.0000000000
0.0320000000,4.7120700224,1.4036907881,-0.0193454593,0.4635301197,0.9856982736,0.0000000000,3.6666433636,0.9856982736,1.1666433636,0.4995622462,3.5844831688,16.0000000000
