t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
0.0000000000,4.7123889804,1.3962634016,0.0000000000,0.0000000000,0.9848077530,0.0000000000,3.6736481777,0.9848077530,1.1736481777,0.4992680326,3.5880344248,0.0000000000
0.0020000000,4.7123870594,1.3962943360,-0.0019208341,0.0309342084,0.9848108697,0.0000000000,3.6736196050,0.9848108697,1.1736196050,0.4992686656,3.5880199393,1.0000000000
0.0040000000,4.7123812983,1.3963871369,-0.0038397888,0.0618661535,0.9848202170,0.0000000000,3.6735338864,0.9848202170,1.1735338864,0.4992705641,3.5879764825,2.0000000000
0.0060000000,4.7123717027,1.3965417976,-0.0057549850,0.0927935730,0.9848357851,0.0000000000,3.6733910204,0.9848357851,1.1733910204,0.4992737260,3.5879040536,3.0000000000
0.0080000000,4.7123582821,1.3967583067,-0.0076645434,0.1237142063,0.9848575582,0.0000000000,3.6731910042,0.9848575582,1.1731910042,0.4992781476,3.5878026513,4.0000000000
0.0100000000,4.7123410496,1.3970366484,-0.0095665850,0.1546257952,0.9848855142,0.0000000000,3.6729338344,0.9848855142,1.1729338344,0.4992838245,3.5876722735,5.0000000000
0.0120000000,4.7123200220,1.3973768023,-0.0114592307,0.1855260851,0.9849196245,0.0000000000,3.6726195061,0.9849196245,1.1726195061,0.4992907503,3.5875129179,6.0000000000
0.0140000000,4.7122952202,1.3977787437,-0.0133406019,0.2164128255,0.9849598545,0.0000000000,3.6722480138,0.9849598545,1.1722480138,0.4992989178,3.5873245814,7.0000000000
0.0160000000,4.7122666684,1.3982424431,-0.0152088200,0.2472837713,0.9850061631,0.0000000000,3.6718193507,0.9850061631,1.1718193507,0.4993083182,3.5871072606,8.0000000000
0.0180000000,4.7122343949,1.3987678668,-0.0170620067,0.2781366830,0.9850585029,0.0000000000,3.6713335092,0.9850585029,1.1713335092,0.4993189412,3.5868609513,9.0000000000
0.0200000000,4.7121984317,1.3993549763,-0.0188982838,0.3089693283,0.9851168201,0.0000000000,3.6707904805,0.9851168201,1.1707904805,0.4993307755,3.5865856489,10.0000000000
0.0220000000,4.7121588143,1.4000037291,-0.0207157737,0.3397794822,0.9851810548,0.0000000000,3.6701902550,0.9851810548,1.1701902550,0.4993438082,3.5862813485,11.0000000000
0.0240000000,4.7121155823,1.4007140778,-0.0225125990,0.3705649283,0.9852511407,0.0000000000,3.6695328220,0.9852511407,1.1695328220,0.4993580251,3.5859480443,12.0000000000
0.0260000000,4.7120687789,1.4014859708,-0.0242868825,0.4013234596,0.9853270050,0.0000000000,3.6688181700,0.9853270050,1.1688181700,0.4993734108,3.5855857303,13.0000000000
0.0280000000,4.7120184511,1.4023193522,-0.0260367476,0.4320528791,0.9854085690,0.0000000000,3.6680462865,0.9854085690,1.1680462865,0.4993899482,3.5851943999,14.0000000000
0.0300000000,4.7119646495,1.4032141615,-0.0277603179,0.4627510005,0.9854957473,0.0000000000,3.6672171580,0.9854957473,1.1672171580,0.4994076194,3.5847740460,15.0000000000
0.0320000000,4.7119074286,1.4041703339,-0.0294557174,0.4934156497,0.9855884485,0.0000000000,3.6663307704,0.9855884485,1.1663307704,0.4994264047,3.5843246613,16.0000000000
0.0340000000,4.7118468466,1.4051878003,-0.0311210706,0.5240446646,0.9856865749,0.0000000000,3.6653871083,0.9856865749,1.1653871083,0.4994462833,3.5838462376,17.0000000000
0.0360000000,4.7117829656,1.4062664874,-0.0327545025,0.5546358968,0.9857900223,0.0000000000,3.6643861559,0.9857900223,1.1643861559,0.4994672329,3.5833387666,18.0000000000
0.0380000000,4.7117158512,1.4074063173,-0.0343541381,0.5851872116,0.9858986804,0.0000000000,3.6633278963,0.9858986804,1.1633278963,0.4994892300,3.5828022395,19.0000000000
0.0400000000,4.7116455728,1.4086072082,-0.0359181033,0.6156964894,0.9860124326,0.0000000000,3.6622123120,0.9860124326,1.1622123120,0.4995122498,3.5822366472,20.0000000000
0.0420000000,4.7115722038,1.4098690738,-0.0374445241,0.6461616260,0.9861311560,0.0000000000,3.6610393846,0.9861311560,1.1610393846,0.4995362661,3.5816419799,21.0000000000
0.0440000000,4.7114958210,1.4111918239,-0.0389315270,0.6765805334,0.9862547216,0.0000000000,3.6598090949,0.9862547216,1.1598090949,0.4995612513,3.5810182277,22.0000000000
0.0460000000,4.7114165052,1.4125753638,-0.0403772388,0.7069511409,0.9863829939,0.0000000000,3.6585214234,0.9863829939,1.1585214234,0.4995871766,3.5803653803,23.0000000000
0.0480000000,4.7113343408,1.4140195949,-0.0417797866,0.7372713954,0.9865158313,0.0000000000,3.6571763495,0.9865158313,1.1571763495,0.4996140119,3.5796834271,24.0000000000
0.0500000000,4.7112494161,1.4155244144,-0.0431372981,0.7675392622,0.9866530860,0.0000000000,3.6557738522,0.9866530860,1.1557738522,0.4996417256,3.5789723570,25.0000000000
0.0520000000,4.7111618229,1.4170897157,-0.0444479011,0.7977527257,0.9867946039,0.0000000000,3.6543139099,0.9867946039,1.1543139099,0.4996702851,3.5782321589,26.0000000000
0.0540000000,4.7110716570,1.4187153877,-0.0457097234,0.8279097902,0.9869402246,0.0000000000,3.6527965004,0.9869402246,1.1527965004,0.4996996561,3.5774628212,27.0000000000
0.0560000000,4.7109790178,1.4204013159,-0.0469208935,0.8580084804,0.9870897816,0.0000000000,3.6512216010,0.9870897816,1.1512216010,0.4997298033,3.5766643321,28.0000000000
0.0580000000,4.7108840084,1.4221473814,-0.0480795397,0.8880468420,0.9872431023,0.0000000000,3.6495891885,0.9872431023,1.1495891885,0.4997606901,3.5758366796,29.0000000000
0.0600000000,4.7107867359,1.4239534618,-0.0491837905,0.9180229426,0.9874000076,0.0000000000,3.6478992395,0.9874000076,1.1478992395,0.4997922783,3.5749798515,30.0000000000
0.0620000000,4.7106873108,1.4258194304,-0.0502317745,0.9479348720,0.9875603123,0.0000000000,3.6461517298,0.9875603123,1.1461517298,0.4998245286,3.5740938355,31.0000000000
0.0640000000,4.7105858475,1.4277451572,-0.0512216200,0.9777807429,0.9877238252,0.0000000000,3.6443466353,0.9877238252,1.1443466353,0.4998574006,3.5731786189,32.0000000000
0.0660000000,4.7104824643,1.4297305081,-0.0521514556,1.0075586916,0.9878903487,0.0000000000,3.6424839312,0.9878903487,1.1424839312,0.4998908522,3.5722341893,33.0000000000
0.0680000000,4.7103772830,1.4317753455,-0.0530194094,1.0372668782,0.9880596791,0.0000000000,3.6405635929,0.9880596791,1.1405635929,0.4999248404,3.5712605337,34.0000000000
0.0700000000,4.7102704292,1.4338795279,-0.0538236092,1.0669034877,0.9882316065,0.0000000000,3.6385855953,0.9882316065,1.1385855953,0.4999593206,3.5702576393,35.0000000000
0.0720000000,4.7101620323,1.4360429105,-0.0545621826,1.0964667301,0.9884059149,0.0000000000,3.6365499132,0.9884059149,1.1365499132,0.4999942471,3.5692254933,36.0000000000
0.0740000000,4.7100522254,1.4382653447,-0.0552332564,1.1259548408,0.9885823821,0.0000000000,3.6344565213,0.9885823821,1.1344565213,0.5000295729,3.5681640828,37.0000000000
0.0760000000,4.7099411455,1.4405466786,-0.0558349572,1.1553660817,0.9887607797,0.0000000000,3.6323053945,0.9887607797,1.1323053945,0.5000652497,3.5670733949,38.0000000000
0.0780000000,4.7098289331,1.4428867567,-0.0563654105,1.1846987408,0.9889408732,0.0000000000,3.6300965073,0.9889408732,1.1300965073,0.5001012280,3.5659534168,39.0000000000
0.0800000000,4.7097157326,1.4452854201,-0.0568227410,1.2139511336,0.9891224219,0.0000000000,3.6278298348,0.9891224219,1.1278298348,0.5001374568,3.5648041357,40.0000000000
0.0820000000,4.7096016921,1.4477425066,-0.0572050725,1.2431216027,0.9893051790,0.0000000000,3.6255053517,0.9893051790,1.1255053517,0.5001738842,3.5636255389,41.0000000000
0.0840000000,4.7094869636,1.4502578508,-0.0575105275,1.2722085186,0.9894888917,0.0000000000,3.6231230333,0.9894888917,1.1231230333,0.5002104568,3.5624176139,42.0000000000
0.0860000000,4.7093717025,1.4528312839,-0.0577372274,1.3012102800,0.9896733008,0.0000000000,3.6206828550,0.9896733008,1.1206828550,0.5002471200,3.5611803484,43.0000000000
0.0880000000,4.7092560684,1.4554626341,-0.0578832920,1.3301253144,0.9898581412,0.0000000000,3.6181847925,0.9898581412,1.1181847925,0.5002838178,3.5599137302,44.0000000000
0.0900000000,4.7091402244,1.4581517263,-0.0579468393,1.3589520780,0.9900431416,0.0000000000,3.6156288220,0.9900431416,1.1156288220,0.5003204934,3.5586177475,45.0000000000
0.0920000000,4.7090243373,1.4608983825,-0.0579259856,1.3876890564,0.9902280245,0.0000000000,3.6130149199,0.9902280245,1.1130149199,0.5003570881,3.5572923885,46.0000000000
